'Wave';'Visit';'Year';'duration_days';'visit_per_day';'GT_Jazz';'CumGT_Jazz';'NTpc_Jazz';'NTmb_Jazz';'CumNTmb_Jazz';'av_temp';'max_temp';'min_temp';'rainfall';'day_tempran_av';'day_tempran_mx';'train';'highway';'Is_rainy';'national_Wine_import';'GDP';'GDP_growth';'avg_GT_artistT3';'avg_atst_utube_view';'avg_atst_experience';'gt_gapyoung';'gt_jarasum';'gt_chunchun';'max_youtube_index';'atst_like_reg_na';'atst_like_reg_eu';'atst_like_reg_ot'
1;30000;2004;3;10000;0;0;0;0;0;19;26.8;13.5;44;4.6;13.3;0;0;1;605;876033;3;3;4398957;33.66666667;0;0;2;5238265;0;1;1
2;70000;2005;3;23333;0;0;0;0;0;22.1;27.4;16.3;10.5;4.3;7.7;0;0;1;685;919797;5;6;12661307;29;0;0;2;33135430;1;1;1
3;100000;2006;4;25000;0;0;0;0;0;19.3;28.2;10.1;0;10.7;16.4;0;0;0;824;966055;4;4;10497992;50.33333333;0;0;8;21104314;0;1;1
4;100000;2007;5;20000;0;0;63;0;0;21;27.8;17.2;0;8.1;10.6;0;0;0;1411;1043258;5;4;5612566;32;0;0;12;8623592;1;1;0
5;130000;2008;3;43333;7;7;39;0;0;17.5;24.9;10.8;0;9.2;13.9;0;0;0;2094;1104492;6;2;3654285;38.33333333;1;0;12;5089836;0;1;0
6;150000;2009;3;50000;20;27;33;0;0;13.1;20.8;5.3;0;6.8;14;0;1;0;1313;1151708;3;1;2446790;50.66666667;1;0;11;3927620;0;1;0
7;170000;2010;3;56667;33;60;27;4;4;12.6;21.2;4.9;0;8;16.3;0;1;0;1286;1265308;1;3;7856284;26.66666667;7;1;27;18308970;0;1;1
8;190000;2011;3;63333;37;96;22;25;29;10.5;19.6;3.8;0;8.3;15.8;1;1;0;1523;1332681;7;3;3030812;32;14;1;45;6139135;0;1;0
9;230000;2012;3;76667;42;138;17;47;77;12.1;22.2;5.6;0;8.8;15.4;1;1;0;1577;1377457;4;9;6085740;65.33333333;19;2;54;12293783;1;1;1
10;270000;2013;4;67500;38;176;16;60;136;16.2;27.6;8.2;0;11.3;16.9;1;1;0;1785;1428295;2;3;2161922;29.33333333;17;2;46;3262653;1;1;0
11;250000;2014;3;83333;40;216;14;72;208;15.3;21.4;9.5;0;6.1;11.9;1;1;0;1800;1471144;3;3;2413752;32.33333333;17;2;45;3923829;1;1;0
12;;2015;3;;51.57142857;246.1428571;7.225927666;92.9;238.9525829;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556934.273;3.2;3.836363636;2161922;26.66666667;24;2.5;57.27272727;3262653;1;1;1
13;;2015;3;;51.57142857;246.1428571;7.225927666;92.9;238.9525829;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556934.273;3.2;3.836363636;12661307;65.33333333;24;2.5;57.27272727;33135430;1;1;1
14;157759.7;2015;3;;1;1;1;1;308;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;1;1;1;11004311.5454545;1;1;1
15;182323.3;2015;3;;10;10;10;10;408;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556936.273;3.2;3.836363636;5529127.909;38.15151515;10;10;10;11004311.5454545;1;1;1
16;190471.3;2015;3;;20;20;20;20;20;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;20;20;20;11004311.5454545;1;1;1
17;224291.7;2015;3;;50;266;50;50;258;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;50;50;50;11712359.8;1;1;1
18;224445;2015;3;;70;286;70;70;278;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;70;70;70;11004311.5454545;1;1;1
19;224445;2015;3;;100;316;100;100;308;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;70;70;70;10824710.4545455;1;1;1
20;167621.7;2015;3;;1;1;1;1;308;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;6.9090909091;0.7272727273;24;10660637.0578512;1;1;1
21;177730.3;2015;3;;10;10;10;10;408;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556936.273;3.2;3.836363636;5529127.909;38.15151515;6.9090909091;0.7272727273;24;10660637.0578512;1;1;1
22;179989.7;2015;3;;20;20;20;20;20;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;6.9090909091;0.7272727273;24;10660637.0578512;1;1;1
23;209499.7;2015;3;;50;266;50;50;258;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;6.9090909091;0.7272727273;24;10122957.4628099;1;1;1
24;209653;2015;3;;70;286;70;70;278;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;6.9090909091;0.7272727273;24;10660637.0578512;1;1;1
25;209653;2015;3;;100;316;100;100;278;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;6.9090909091;0.7272727273;24;11368340.6760331;1;1;1
26;176014.3;2015;3;;19.7272727273;65.4545454545;21;18.9090909091;41.2727272727;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;1;1;1;11571511.6341598;1;1;1
27;189542;2015;3;;19.7272727273;65.4545454545;21;18.9090909091;41.2727272727;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556936.273;3.2;3.836363636;5529127.909;38.15151515;10;10;10;11571511.6341598;1;1;1
28;195244;2015;3;;19.7272727273;65.4545454545;21;18.9090909091;41.2727272727;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;20;20;20;11571511.6341598;1;1;1
29;199471;2015;3;;19.7272727273;65.4545454545;21;18.9090909091;41.2727272727;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;50;50;50;10955012.9626722;1;1;1
30;199471;2015;3;;19.7272727273;65.4545454545;21;18.9090909091;41.2727272727;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;70;70;70;11571511.6341598;1;1;1
31;199471;2015;3;;19.7272727273;65.4545454545;21;18.9090909091;41.2727272727;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;1556935.273;3.2;3.836363636;5529127.909;38.15151515;100;100;100;12088105.6727273;1;1;1
12;;2015;3;;51.57142857;246.1428571;7.225927666;92.9;238.9525829;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;934.273;3.2;3.836363636;5529127.909;38.15151515;24;2.5;57.27272727;10824710.4545455;1;1;1
13;;2015;3;;51.57142857;246.1428571;7.225927666;92.9;238.9525829;15.3;21.4;9.5;0;5.3;12.3;1;1;0;2012.090909;556934.273;3.2;3.836363636;5529127.909;38.15151515;24;2.5;57.27272727;10824710.4545455;1;1;1
